9.75,10.4,10.667,10.857,11.714,10.857,10.429,9.4286,8.5714,8.2857,7.8571,7.8571,8.4286,7.2857,7,6.8571,6.4286,5.7143,5.1429,4.8571,4.4286,5.4286,4.8571,3.8571,4,3.7143,3,4,3.1429,6.1429,6.5714,6.4286,6.4286,6.2857,5.7143,5.5714,2.5714,2.7143,2.5714,2.5714,3,2.7143,3.1429,3,2.7143,2.7143,3.5714,3.1429,3.8571,3.5714,3.8571,4.7143,5.8571,6,6.4286,5.7143,5.5714,5.7143,5.2857,4,3.5714,3.5714,4.2857,5.5714,5.4286,5.4286,6.5714,6.8571,8.4286,9.7143,9.7143,11.571,13.857,15.571,16.857,18,22,28.857,35.714,41.143,47,56.286,71.571,77.571,91.429,125.71,138.71,148.14,148.29,149.86,157.71,159.57,139.71,139.57,134.43,144.57,151.43,150.86,159.43,162.86,159.71,172.86,169.29,167.14,165.57,156.43,145.86,152.57,141.43,138.86,128.14,124.86,124.57,129.29,122.86,123,118.71,120.14,119.71,110.43,104.17,99.2,97
14,13,13.667,12,11.857,10.286,10.857,9.2857,8.4286,7.1429,9,9,11.143,11,11.429,14,18.857,18,20,19,23.571,22.571,20.143,14.429,14,11.286,10.286,4.5714,10.286,11,11.286,10.571,10.857,11.143,11.714,5.2857,4.4286,5,5.2857,5.1429,5.7143,6,7.5714,7.2857,6.5714,7.7143,7.8571,7.4286,7.7143,7.1429,9.1429,9.8571,9.7143,9.7143,9.2857,11.286,12.143,10.714,10.429,9.7143,10.286,12.571,10.714,9.4286,10.571,11.857,12.571,12.143,11.143,10.857,13.286,15.714,15.571,16.714,18.857,20.857,28.143,33.286,36.286,41.429,45.286,47.429,53.429,58.143,69.714,82.429,102.14,108.71,114.86,121.43,129.71,127.29,122.71,107.43,111.43,120.86,121.57,123.14,136.86,147.14,160,166.86,173.14,183.57,191.14,187.71,189.29,197.57,189.29,195.29,186,175.86,171.57,167.71,150.29,149.14,134.71,130.71,129.14,123.57,116.83,118.8,123.25
18.75,18,17.167,15.286,14.143,12.857,12,10.714,9.1429,9.1429,10.429,10.429,9.4286,11,10.714,10.429,9.2857,8.1429,7.5714,7,4.8571,5,5.1429,5.2857,6,6.4286,5.7143,5.5714,5.2857,6.1429,5.2857,4.1429,4.2857,5,4.4286,3.5714,2.4286,3,2.7143,2.1429,2,2.2857,2.7143,2.8571,2.4286,2.8571,3.4286,3.1429,2.7143,2.8571,3.2857,3.8571,3.7143,3.2857,3.8571,4.1429,4.5714,4.2857,4.4286,4.2857,4,4.8571,5.4286,4.8571,5.2857,6,7.2857,9,11.429,15.571,21.143,26.857,32.429,35.429,40,41.571,50.714,62.571,68.571,72.286,81.571,87.857,106.86,113.14,123.57,144.71,157.29,159.43,159.29,151.14,152.71,145.86,143.29,139,136.14,136.57,138.57,138.43,140,125.43,127.14,148,144.86,144.71,148,151.86,152.43,157.14,135,140.43,138.29,127.71,117.43,117,100.71,100.71,101.71,100,97.571,90.714,86.333,90.6,92.75
14.25,12.4,12.167,13.143,13.857,12.143,13,12.429,13.429,12.286,10.143,9.7143,9.8571,8.4286,9,8,8.2857,8.7143,8,7,7.1429,5.7143,5.5714,5.2857,4.5714,5.2857,5.1429,6,7.2857,7.7143,8,8.8571,8.7143,9.5714,8.5714,7.2857,6.5714,7,6.4286,5.7143,5,10.714,11.429,11.429,11.714,12.571,14,14,9,9.8571,11.143,11.143,10.286,8.7143,8.5714,8.7143,8.1429,7.5714,7,7,7.5714,7.2857,5.8571,5.1429,5.7143,6.4286,6.7143,6.7143,8,9.1429,9.4286,10.286,12.429,13.429,13.571,14,16.714,20.571,26.429,27.857,30.286,34.571,41.143,43.714,53.857,59.286,62.714,65,64.429,72.857,81.143,81.286,102.57,108.43,106.29,109.57,104.71,103.43,104.86,83.143,135.14,146.86,155,159,184.71,190.29,203.43,162.71,159.86,156.86,160,131.43,136.71,134.43,122.57,118.57,120.29,111.71,114.14,107.29,97,97,105
15.5,17.4,15.667,14.714,15.857,14.571,12.857,13.714,13.143,14.286,15.286,13.857,15,18.571,18,20.143,25.857,25.857,26,24.429,23.429,23.571,19.286,13,14.286,17.143,17,15.286,14.286,15.714,15.857,14.714,17.286,22.143,22.429,21.571,21.286,22.429,21,15.857,12,10.857,12,11.143,10.429,12,13.286,12.429,17.143,17.143,17.714,18,17.286,14.571,14.714,10.571,10.857,11.286,10,9.8571,12,16.286,18.143,20,20,20.571,23.143,22.143,19.286,17,21,25.143,26.857,28.857,36.286,39.714,42.143,48.571,61.857,73.286,79.429,75.714,87,93.429,102.71,122.29,121,119,120.43,126.14,139,127.57,130.29,139.86,139.29,147.71,152.14,155.86,167.29,154,199.43,211.57,218.43,212,235.43,243,235.43,208.14,210.29,207.43,216.29,191.14,198.14,204.14,184.29,177.71,174.14,158.43,155,142.43,134.67,131.6,133.75
19,18.8,17.333,17.429,17.857,17.714,17.857,17.714,18.714,18.571,18.143,15.571,16.286,16.143,16.857,15,14.571,13.429,13.857,13,13,11.571,11.143,12.714,13.143,13,13.429,12.714,12,13.286,12.571,13,12.571,13.714,15.571,14.571,15.143,16,16.143,26.714,26.714,25.286,29,27,28,34.286,26.714,27.714,32.857,35,38.857,43.286,39.429,39.286,39.429,41.286,42,45.571,41.143,42.571,42.857,49.286,59,60,64.857,71.429,70,74.714,78.714,68.143,70,66.714,69.571,74.571,85.857,83.857,84.571,89.714,94.571,90.429,87.714,92.286,91.286,91.143,112.29,124.14,132.57,134.43,121.43,131.43,145.43,131.86,130.57,133.14,132.71,139.43,151,148.29,153.71,155.43,171.57,198.43,218.57,205.57,214.14,219.57,229.86,227.86,209.86,192.14,196.71,189.29,183.86,164,140,133.71,141.86,132.71,136.29,140,142.67,157.2,177.75
26.75,24.4,22.5,21,20.857,19.571,17.857,14.857,14.429,13.429,13.143,13.286,12,12.714,12.429,12.286,12.286,11,9.7143,9.4286,9.2857,9.8571,8.5714,7.7143,8.5714,8.1429,7.2857,4.1429,3.5714,5.8571,6.5714,6.2857,5.7143,7.2857,9.4286,9.7143,8.5714,9,8.4286,9.4286,8.1429,7.1429,7.7143,7.4286,7.1429,7.7143,7,7.1429,6.5714,5.1429,4.5714,5.1429,4.4286,4.7143,5.2857,4.8571,6.2857,7.1429,6.1429,6.4286,6.7143,6,7.4286,6.2857,6.1429,6.2857,6.5714,7.5714,7.8571,8.4286,9.1429,9.8571,13.286,14.143,14.857,17.429,20.143,23.429,28.143,30.571,33.143,40.143,47.143,56.429,75,91.714,111.57,119.86,125.57,134.57,146.86,148.71,161.71,161.86,164.14,166.29,162.57,159.57,161.71,154.29,171.57,196.29,197.86,207,257.71,271.14,266.29,263.29,260.86,272,276.57,224.86,227.71,240.29,229.14,208.57,213.43,206.14,205.29,188.57,177.17,171.2,185.5
9.5,9,8.5,8.1429,8,9.7143,8.2857,8.7143,7.8571,7,7.8571,6.7143,5.8571,6.5714,6.8571,7.5714,8.1429,7,6.2857,4.8571,4.4286,3.1429,2.5714,2.1429,1.7143,1.8571,1.8571,1.4286,2,1.8571,1.7143,1.7143,1.2857,1.2857,1.4286,0.57143,0.85714,1.1429,1.1429,1.5714,1.5714,1.5714,1.7143,1.4286,1.4286,1.5714,1.5714,1.8571,2.2857,2.4286,3,3,3,2.8571,2.7143,2.2857,3.5714,3.8571,4,4.1429,4.1429,4.2857,4.7143,3.7143,3.2857,4,4.7143,4.7143,4.7143,6,9.4286,18.714,19.286,20.714,22.714,30,32.571,37.571,31.286,38.429,40.143,42.429,40.857,42.571,47,61,65.571,69.857,72.429,81.714,89.571,89.714,85.143,93.286,91.143,99.429,96.714,96.143,99.286,100,96,107.86,112.14,113.57,118.29,120.14,116,118,106.57,98.571,101.71,106.86,107.29,111.71,106.71,111.14,112.29,104.57,93,89.429,88,85.2,86.75
3.75,3.8,4.5,4.5714,5.2857,5.4286,6,6.4286,6.4286,6.1429,6.5714,6,5.4286,5.2857,4.7143,4.4286,4,4,3.7143,3.7143,4.7143,4.5714,4.5714,4.2857,3.1429,4.2857,4.7143,4.2857,4.2857,4.5714,4.7143,4.7143,4.7143,4.4286,3.8571,3.4286,3.7143,3.4286,3.8571,2.8571,3,2.1429,2.2857,1.7143,2,1.7143,1.5714,1.5714,2.2857,2.1429,1.8571,2.1429,2,2.2857,1.7143,1.1429,1.4286,1.5714,1.5714,1.8571,2.1429,2.4286,2.8571,4.1429,4.2857,4.4286,4.4286,4.1429,4.1429,4.4286,3.8571,5.1429,4.5714,4.8571,5.8571,6.4286,7.5714,9.4286,11.286,12,13.857,14.143,19.429,21.143,22.714,29.857,33.714,34.714,35.429,37.143,42.286,41.857,38.571,42.286,47.286,53,54.857,53.286,70,76.429,80.286,93.714,104.43,118.14,127.86,121.29,122.29,133.43,129.71,135.29,126.86,124.29,135.57,137.86,143.29,147.29,172.43,212.57,250.71,255.29,278,293.2,327.75
7.25,9,8.5,10.857,12,11.714,12.714,12.286,10.429,10,7.7143,6.1429,6.1429,7,6.4286,6.7143,7.1429,6.1429,5.8571,5.8571,4.8571,4.5714,4.1429,3.7143,4.5714,4.7143,3.7143,3.8571,3.7143,4.1429,4.1429,3.2857,2.8571,3.7143,3.4286,3.7143,3.7143,3.5714,3.5714,4.4286,4.8571,4.2857,5.4286,5.1429,5.8571,7.1429,6.5714,5.2857,6.8571,7.1429,10,9.7143,10,11,12,10.714,12.286,11,11.429,9.8571,11.286,12.571,15.857,16,20.571,22.286,25.857,25.286,26.857,32.143,33.143,31.857,36.571,38.857,44.571,48.714,42.429,48.286,48.429,47.286,42.857,38.286,42.286,46.714,44.286,58.143,62.571,66.429,67.857,68.429,70.286,77.429,76.143,75.714,81.857,90.143,88.714,86.714,96.857,90,97.143,113.86,111.29,110.86,116.86,107.14,108.71,109.29,92.143,96.143,98.143,100.43,106,116.57,110.57,120,129.57,129.86,128.43,121.29,114.33,120.2,114
